angular_velocity_ground_truth,angular_velocity_odometry,left_wheel_angular_ground_truth,left_wheel_angular_odometry,linear_velocity_ground_truth,linear_velocity_odometry,right_wheel_angular_ground_truth,right_wheel_angular_odometry,time_interval
-0.012396279205039294,-0.1570020615280089,0.10128112309441291,0.5041325766139478,0.007156688964100953,0.020565606173829895,0.05775640944116382,-0.04711910608439457,0.15
-0.0677245840894635,-0.15913549128854929,0.39205724737363634,0.5144188824022569,0.02458466797749204,0.02115429179261233,0.15426870768174228,-0.04432350923309397,0.3
-0.11956831926374031,-0.1613755880959418,0.5654942221240205,0.5253330359171906,0.032002685547490875,0.021782630313388344,0.14567656782022118,-0.04127458450856067,0.44999999999999996
-0.13241460222521906,-0.16373177378018686,0.4943727023993273,0.536939358905061,0.023572036064354842,0.022454922044185963,0.029450321253002565,-0.03794109125648404,0.6
-0.15760542717238718,-0.1662146850222695,0.3546440953149149,0.5493115861963254,0.007016311085105166,0.023176122524150695,-0.19872607120146674,-0.034286641215198754,0.75
-0.15797627650647114,-0.16883638326970923,0.3824792792997045,0.5625346897829505,0.009462883448950965,0.023951973523851488,-0.17219298043412753,-0.030268611475139706,0.9
-0.17209166538419632,-0.1716106107553101,0.596856592594464,0.5767071497478999,0.026526610202798742,0.024789166977971996,-0.007376365865603085,-0.025836772459633284,1.05
-0.16152606669709474,-0.17455310505185673,0.7130715752098715,0.5919438062969322,0.03865532323074746,0.02569555196853054,0.1459356076956277,-0.02093154032958694,1.2
-0.1556501896167024,-0.17768198861307882,0.5458471558092175,0.6083794755764819,0.024533514063390598,0.02668039860101691,-0.0006579544005376192,-0.015481728887217161,1.3499999999999999
-0.17522883060193536,-0.18101825529609364,0.42277111172047355,0.62617358106049,0.010363244819736828,0.0277547379586613,-0.19247678239298843,-0.009401626423572174,1.4999999999999998
-0.18077318966928344,-0.18458638360574625,0.8308582856256636,0.6455161523653578,0.04621508173856293,0.02893180510317429,0.19614353078684615,-0.0025871500725957453,1.6499999999999997
-0.1836848030543079,-0.18841511735911246,0.47228263520243385,0.6666356906842577,0.013483238285638395,0.030227623618843423,-0.1726551177438028,0.0050892786233739384,1.7999999999999996
-0.1708572655223605,-0.1925384701837689,0.576168493741733,0.6898096208445013,0.024859716484223002,0.03166178758696962,-0.023730349647888394,0.013785658865934802,1.9499999999999995
-0.1994901431785005,-0.19699703312932496,0.7523025620425245,0.7153783874787085,0.03618778796162413,0.03325852363865042,0.051870503771345,0.02369991560241197,2.0999999999999996
-0.18773578794237097,-0.2018396984521252,0.678302990621096,0.7437647798581934,0.031385014661004025,0.035048157831801624,0.019141779623437882,0.03508317195962046,2.2499999999999996
-0.19035959852253384,-0.20712596333787292,0.7958189751678538,0.7755009129282379,0.041546891198546494,0.03706917995615748,0.12744527368873498,0.04825864165303956,2.3999999999999995
-0.21628169107184395,-0.21292905468735876,0.837772570997755,0.8112666766564303,0.041227024200446605,0.03937121025847603,0.07838352234550289,0.06364910686525937,2.5499999999999994
-0.19478277041376188,-0.21934023604027028,0.7014992865352574,0.8519458084390149,0.03235925806279879,0.04201936546514864,0.017595337082493445,0.08181786856428813,2.6999999999999993
-0.2303072990749585,-0.22647484646605237,0.9292186267129947,0.8987098417220043,0.04724112315032608,0.04510086001334412,0.12058410996091817,0.10353149190786493,2.849999999999999
-0.22129551649678766,-0.23448092151989017,0.8930178661046864,0.9531476312722835,0.045406916342929315,0.048735301214362876,0.11602471929374297,0.1298590623802247,2.999999999999999
-0.24040779376726032,-0.24355172459635693,1.026446388418066,1.0174722877300613,0.054395743542398796,0.05309133340948113,0.18234791252412963,0.16233512136951916,3.149999999999999
-0.2480203914107839,-0.25394426114760205,0.995956273457329,1.0948655469126694,0.050448842768255744,0.05841470596081911,0.1251291213927987,0.20323902999442212,3.299999999999999
-0.24433053409634573,-0.2660069000767427,1.0795181307338124,1.1900792139325436,0.05855240737882048,0.06507803904180356,0.22164647768442064,0.256099431440869,3.449999999999999
-0.2581661829151706,-0.28022017735277643,1.2600882464669376,1.3105483084994116,0.07261768528142742,0.07367455974320836,0.3536380931203386,0.32666413023855195,3.5999999999999988
-0.27714714201387003,-0.29725274708223964,1.2226728063789614,1.4686020154546378,0.06625130413591505,0.08520824735192352,0.2495783966413732,0.424914592365885,3.7499999999999987
-0.2939681066753961,-0.3180125174897775,1.602423915527591,1.686254777223208,0.09777119154277063,0.10151695218670387,0.5702692298673115,0.5696774935924336,3.8999999999999986
-0.3038898255004361,-0.3435329621773914,1.7148701340742336,2.0067680796769665,0.10632371963761213,0.12633091914689915,0.6478791912060358,0.8005856791430146,4.049999999999999
-0.3065856052824894,-0.37360111893238457,2.02756384339778,2.526286181657075,0.13404022027116688,0.16833677955782,0.9511077181837061,1.214531141850036,4.199999999999999
-0.35231145130056346,-0.3952785630723847,2.577902482493678,3.487199323746673,0.17634601411894196,0.25139392617176376,1.3408978312605881,2.099332368959189,4.35
-0.3664019990872355,-0.16114900057406087,3.5245623222532974,3.146188473969521,0.25931909314701357,0.25769542056655526,2.2380841921247816,2.580376427509485,4.5
-0.29248519292545655,0.04208008301035521,3.29723368994045,3.107933063908419,0.2505383716124184,0.28636262886739383,2.2702856792244024,3.255680910922555,4.65
-0.15200629572605392,0.2388896109880049,3.3046089539513517,2.9059021079546734,0.2733978111309051,0.2992757482520254,2.770897960068762,3.7446700754236684,4.800000000000001
0.06604542568834332,0.35387555318784136,3.068816084851386,2.716717672307665,0.286628624895383,0.3004169279113688,3.3007089128237914,3.959214059056086,4.950000000000001
