theta,x,y
-0.002164898755394141,-0.0008837220817807245,5.803494194286566e-06
-0.0021649158180899347,-0.0008837130958672113,5.8001441591496025e-06
0.027873282209555636,0.01573351614514573,0.0001573354698625744
0.08061280109254235,0.036184278556792446,0.0012803011774638997
0.13406481732857967,0.05756604440259867,0.003595448778328054
0.18809502403906317,0.07987344001365917,0.0072243748677861125
0.2463787586671944,0.10469963196008138,0.012702001615225505
0.3019918600956871,0.12913734593732784,0.019561906302743837
0.3620525845001711,0.15646373489229987,0.028958017733112656
0.4190545155822339,0.1832904285014854,0.03997059546206078
0.4769359833896447,0.2113927137674983,0.05343439759967428
0.5359117661987165,0.2407752811856398,0.0696917844501998
0.5951688029013938,0.2715833589979579,0.08919811005606926
0.6543103973119743,0.303883013353215,0.1124331847677623
0.7128460712032701,0.3377346007597206,0.13994615078566075
0.7736703599468191,0.37526042742265286,0.1743732575313827
0.8272056214122017,0.41216189058204017,0.21229210306360358
0.8763872991820789,0.450514939277264,0.25600241394618856
0.9186493372595023,0.49019322468699356,0.3056369901736786
0.9513192244142876,0.5308763609020533,0.36069476497597164
0.973792281494902,0.5720080099655265,0.4197624426056419
0.9845070651890221,0.6161695358150782,0.48551346908137866
0.9824349060825665,0.6576572286827632,0.547862557137436
0.9704075729711987,0.7005918797263073,0.611488138822762
0.9518772639802549,0.7409747701146925,0.6693799094925366
0.9269856054680428,0.7844191066583567,0.7288794366809136
0.8985433628071934,0.8293713398929354,0.7871161138829983
0.8702193357014274,0.8721565003534311,0.8394106504931738
0.8463386248039086,0.9072732194693344,0.8803744358724934
0.8261794504742578,0.9380692840104876,0.9145625678245632
0.8066328502220533,0.9687812410528696,0.947261165224746
0.784014757252121,1.0023792688578665,0.9815850241136705
0.7612756060827123,1.0346362399729068,1.0130594826099968
0.7329422195930477,1.067680001499164,1.0436986745272336
0.6972388367497819,1.1016934802388416,1.0732778424684015
0.6549622959963959,1.1391543912791713,1.1034065285004844
0.6141550583341976,1.175366091888481,1.1301089878378305
0.5736596152436261,1.2125946659177926,1.1552797130835668
0.5328220052218245,1.250507144925371,1.1787260877645631
0.48926188825953826,1.2882828923179914,1.1999645365753924
0.43539241581880084,1.326414056789914,1.2190574067295559
0.37896513585709873,1.3591141270665525,1.2332262144671333
0.3208614716964796,1.3912344006703241,1.2449880346567506
0.26197122214400625,1.4249328064827147,1.2551181595551881
0.1987213601438411,1.463409982445985,1.2641488348538215
0.13951660645322844,1.5024723927625296,1.2708204596767327
0.07886646747616716,1.545856336265643,1.275571956025676
0.02279539842638639,1.5894668556735692,1.2777762087391769
-0.0377642115727175,1.6408286258427802,1.2773617369930323
-0.09242841062687746,1.6926335619722206,1.273961521537259
-0.14416188828181012,1.747954393608601,1.2673622340012334
-0.19187404174322903,1.8067945247915729,1.2573567532476921
-0.2344173504836589,1.868918931820208,1.2438831559644319
