dist_r,heading_angle,theta
1.4148344843739042,-0.7871184945412408,4.64042141533616e-05
1.400802446600159,-0.7447144101081788,-0.009539760337477499
1.385477424886027,-0.70161986262654,-0.019249546460263223
1.3687412324622785,-0.6578012888804097,-0.029071420305533446
1.3504586126010116,-0.6132262204760539,-0.03898980626240833
1.3304739751017762,-0.5678650353996704,-0.04898372686062191
1.3086074574443032,-0.5216936739745779,-0.059024944504843746
1.2846502198077467,-0.47469782721899617,-0.06907540656667333
1.2583589403453705,-0.42687938099688083,-0.07908371549605553
1.229449629792325,-0.37826632196472576,-0.08898024112187886
1.1975912347882895,-0.32892794373852896,-0.0986703704824381
1.162400243132587,-0.2789980861700335,-0.10802528957487267
1.1234389961394013,-0.22871024825311947,-0.11686973119563016
1.0802232227635582,-0.17844931134543218,-0.1249666161843015
1.0322491004585213,-0.12882378879606438,-0.13200016918128277
0.9790567896180701,-0.08075594523133056,-0.13756321495409773
0.9203518910700997,-0.0355665724125821,-0.14116244276042944
0.8561942740508586,0.0050125010661900005,-0.14226594840703433
0.7872080563168931,0.03901811373533026,-0.14041734719319388
0.7146637364438991,0.06472251363143533,-0.13540191629565046
0.6402491217143608,0.08125153752558745,-0.12737049630193065
0.5655639643278587,0.08892335621206349,-0.11680486116913724
0.49168215296525775,0.08901625390586321,-0.10433744461155292
0.4190535107278437,0.0832134853087152,-0.09056876580471729
0.3476652945304175,0.07315630862222178,-0.07597989191865029
0.27725257941449083,0.060253794865517185,-0.06092583777920779
0.21009338688087048,0.0462128737200177,-0.046240482620569234
0.15796228503725557,0.034764462676249885,-0.034764773825870066
0.11260158049314277,0.024779299856626857,-0.024779246541214883
0.06782991707014593,0.014925708969793616,-0.014925764718105028
2.0161079517138623,0.7852846200962763,-0.008058244080402602
1.9841742461288965,0.7783594695335361,0.007793366165184493
1.9519307518276288,0.7656206950637018,0.0237429262050038
1.9191750024038465,0.745398914067224,0.03968324969571742
1.8857417799515843,0.7211494632372211,0.055513852927284064
1.8515746947117575,0.6959757522395196,0.07118375989561564
1.8166841028243692,0.6709958774020125,0.08667657626240552
1.78142545571635,0.6451551771489814,0.10182637863388574
1.7466240202238397,0.6149319618673851,0.11621173473236197
1.7139903119220057,0.5753426304179903,0.1289802367603402
1.683986122750011,0.5286828891687083,0.13985655561570337
1.6542110010637159,0.4799702888635238,0.14970244492915816
1.6226797762238778,0.43035604654146675,0.15912143263157882
1.588554620277899,0.38013025996323047,0.1682388987108117
1.551390841499615,0.3297070634624313,0.177011839005638
1.5109712254013998,0.27921216538909754,0.1853067158999969
1.467040083647386,0.2289093497924868,0.192967955793328
1.419350013070712,0.17916358599266508,0.19980541839080845
1.3676856545846605,0.1304673133694517,0.20559145038619517
1.3118997672323995,0.08346438699740519,0.2100623194368317
1.251962560161185,0.03896145359010292,0.21292793224809797
1.1880196446798548,-0.0020899897888332353,0.21389430644822321
1.12044375359071,-0.03866084964004152,0.21270123788613887
1.049853826272359,-0.06977192721729605,0.2091709559248119
0.9770731896502243,-0.09466356781144544,0.20325326657298573
0.9030195366754983,-0.11295047795663163,0.195046247993766
0.8285588755758093,-0.12469103543893012,0.184779005417662
0.7543817004390436,-0.13033936757401637,0.1727631338804555
0.680944471848167,-0.13061370987591867,0.15933561090564222
0.6084779963695723,-0.12634820338315497,0.14481442908479095
0.5370348523049139,-0.11837884485600364,0.12947500006437243
0.4665458796200806,-0.10747861018188036,0.11354389889041376
0.3968684359620144,-0.09433276251154811,0.09720260514275873
0.32782146467095047,-0.0795386712845614,0.08059501121063038
