x,y
-0.0008835094136254995,5.724247182825316e-06
0.005988519387540892,-0.0001267366157646499
0.0130043220023568,-0.0005035510816033539
0.020161186987709852,-0.0011377712019152997
0.027455932947242242,-0.002043036510916224
0.03488486482536578,-0.003233606530837402
0.04244372563361776,-0.004724395726399572
0.05012764303376218,-0.006531011132198061
0.05793107011765297,-0.008669792898242629
0.06584771962555169,-0.011157858021959371
0.07387049072980285,-0.014013147559579525
0.08199138737650076,-0.0172544776358097
0.09020142702042974,-0.02090159459763999
0.09849053840382534,-0.024975234685503306
0.10684744681225279,-0.029497188621829068
0.11525954498501052,-0.03449037154193793
0.12371274755565385,-0.03997889871315918
0.13219132654185906,-0.04598816750204082
0.1406777249827033,-0.052544946052311775
0.14915234532356544,-0.05967746912179028
0.1575933085603706,-0.06741554148615078
0.16597617945994325,-0.07579064923931039
0.17427365235405273,-0.08483607918724784
0.18245519104217572,-0.09458704632060544
0.1904866152125466,-0.1050808290282795
0.19832962448491492,-0.11635691123303449
0.2059412496792718,-0.12845712992634856
0.2132732192223652,-0.141425825563209
0.22027122674091681,-0.15530999132338763
0.22687408392122876,-0.17015941518073827
0.23301274077451772,-0.18602680580785227
0.2386091537896612,-0.20296788925410986
0.2435749815279039,-0.22104145763047278
0.24781008777673813,-0.2403093431295995
0.2512008356831751,-0.26083627984925917
0.2536181643399928,-0.28268960113511127
0.2549154552573708,-0.3059387004423069
0.2549262248385497,-0.33065415797904607
0.25346172751395496,-0.356906402993554
0.250308632593567,-0.38476374309788297
0.24522705921866345,-0.4142895509441076
0.23794943274398145,-0.4455383640396896
0.22818087392014358,-0.4785506448671934
0.2156021455261034,-0.513346001297301
0.1998765164754635,-0.549914838572443
0.1806621396305031,-0.5882087801838265
0.15763143251513467,-0.6281308269256224
0.13049812270316064,-0.6695271193215687
0.09905067707424431,-0.7121831320465519
0.0631877158481271,-0.7558276463210043
0.022947544830423272,-0.8001471361826793
-0.021477873407887316,-0.8448106760937275
-0.06975198634370416,-0.8895015513282247
-0.12142644151611726,-0.9339483017250776
-0.17598980352416294,-0.9779473225898856
-0.23291918752119578,-1.0213721932361481
-0.2917227828293405,-1.0641698334696719
-0.3519669085005295,-1.1063475086805505
-0.41328753600761203,-1.147955974321265
-0.47539010778576696,-1.189073057379316
-0.5380424701273192,-1.229790090595003
-0.6010649080292385,-1.2702019576080854
-0.6643198662622396,-1.3104004959637372
-0.7277027025633451,-1.3504705788584843
-0.7911339809171807,-1.3904881341153157
-0.8545533423453691,-1.4305194638527468
-0.9179147731927628,-1.4706213802523393
-0.9811830204037015,-1.5108418147389564
-1.0443309063882484,-1.5512206705354004
-1.1073373296220197,-1.591790770648867
-1.170185778599329,-1.632578810155529
-1.23286322586865,-1.6736062596255952
-1.2953593018194365,-1.7148901912719943
-1.3576656739933437,-1.7564440151614047
-1.4197755776225964,-1.7982781226092666
-1.4816834579436193,-1.8404004397466966
-1.543384695704411,-1.882816897568727
-1.604875395147701,-1.9255318264557726
-1.6661522193919875,-1.9685482837992954
-1.7272122621566837,-2.011868323349333
-1.7880529476424467,-2.0554932144942466
-1.8486719524202737,-2.099423619051569
-1.9090671446473575,-2.143659732405604
-1.9692365369878342,-2.1882013950457715
-2.029178250395825,-2.233048179786831
-2.0888904865015263,-2.2781994592174097
-2.1483715067876368,-2.323654457243924
-2.2076196170928952,-2.3694122879819783
-2.2666331562590685,-2.4154719846998116
-2.3254104879651702,-2.4618325210380014
-2.383949994980302,-2.508492826313624
-2.4422500752223986,-2.555451796360982
-2.5003091391399366,-2.6027083010599235
-2.5581256080414185,-2.6502611894511006
-2.6156979130863593,-2.6981092931298356
-2.673024494723837,-2.746251428441047
-2.7301038024229225,-2.794686397861975
-2.7869342945849525,-2.8434129908523342
-2.843514438562842,-2.892429984368542
-2.89984271073884,-2.941736143175902
-2.9559175966309432,-2.9913302200463505
-3.0117375910110606,-3.0412109558963394
-3.0673011980262856,-3.091377079896807
-3.1226069313194103,-3.141827309572502
-3.177653314147186,-3.192560350899047
-3.232438879495641,-3.2435748984012687
-3.286962170191428,-3.294869635254182
-3.341221739006981,-3.3464432333874665
-3.3952161487541055,-3.398294353594716
-3.448943972350559,-3.450421645650028
-3.5024037927979172,-3.5028237484359277
-3.5555942025593463,-3.555499290047953
-3.5555943846079234,-3.5554994713010015
