angular_velocity,left_wheel_angular,linear_velocity,path_curvature,right_wheel_angular,time_interval
-0.19239703184456505,5.542075662071969,0.468388078555036,-0.410764151893243,4.8665483058177195,0.15
-0.17660473832545953,5.572941010254583,0.4736611422674899,-0.37285038303970863,4.952862151245192,0.3
-0.16208249064285488,5.59584370104884,0.4780168995728245,-0.339072720624937,5.026754067236149,0.44999999999999996
-0.14888216812423688,5.61236400634468,0.48158937800739177,-0.3091475329880547,5.08962217159736,0.6
-0.13700381045341,5.623892175244574,0.4845036937203729,-0.2827714468003222,5.1428565740970456,0.75
-0.12640865284269098,5.631606222162719,0.4868719928454996,-0.2596342667071519,5.18777139662616,0.9
-0.11703092143856873,5.636473856772632,0.488791761522243,-0.23942899748166707,5.225565288166102,1.05
-0.10878769957814907,5.639269308785339,0.49034578125733297,-0.22185915273747894,5.257303608044282,1.2
-0.10158669783555567,5.64059774001613,0.49160309834343396,-0.2066437298256961,5.283915556504624,1.3499999999999999
-0.09533207054535753,5.640922120736258,0.49262052372009674,-0.19352029798808076,5.306200628599225,1.4999999999999998
-0.08992856810493098,5.640589357917396,0.49344432845198655,-0.18224663436106606,5.324840163237861,1.6499999999999997
-0.08528435493168036,5.63985391387039,0.4941119241691296,-0.1726012888174874,5.340411067665823,1.7999999999999996
-0.08131280453292324,5.638898148073763,0.4946534102104368,-0.16438339017683296,5.35339985660261,1.9499999999999995
-0.07793353814493915,5.637849236726923,0.4950929322785227,-0.157411938373413,5.3642159250180255,2.0999999999999996
-0.07507292128212348,5.636792875469298,0.4954498372296613,-0.15152476727391498,5.373203507412064,2.2499999999999996
-0.07266418346316382,5.635784140710962,0.4957396316768068,-0.14657731361396703,5.380652118773632,2.3999999999999995
-0.07064728464093437,5.634855942889146,0.49597476388675554,-0.14244128892224253,5.386805476816532,2.5499999999999994
-0.06896861846073632,5.634025498715026,0.49616525316755605,-0.13900332201909646,5.391869016119552,2.6999999999999993
-0.06758061679988339,5.633299210423022,0.4963191914836904,-0.1361636180093273,5.39601615588121,2.849999999999999
-0.06644130086230908,5.632676287406723,0.49644314033036024,-0.13383466396190996,5.399393497712393,2.999999999999999
-0.06551381006520486,5.632151390491185,0.4965424431539043,-0.1319400002325657,5.402125124040021,3.149999999999999
-0.0647659298387627,5.6317165273070975,0.4966214705431143,-0.13041306846426415,5.404316151428776,3.299999999999999
-0.06416963225570624,5.631362381482555,0.49668381243702836,-0.12919614178857888,5.406055672673631,3.449999999999999
-0.06370063832502108,5.631079219501683,0.4967324288997982,-0.1282393389658699,5.407419200493831,3.5999999999999988
-0.0633380072288393,5.6308574869518235,0.4967697686835075,-0.12749972164508264,5.4084707060150095,3.7499999999999987
-0.06306375531410402,5.630688179861027,0.49679786284786404,-0.12694047223270005,5.409264327869284,3.8999999999999986
-0.06286250595454917,5.6305630560937034,0.49681839910761455,-0.12653014877762747,5.409845812964398,4.049999999999999
-0.06272117024675533,5.630474735473572,0.4968327812936342,-0.12624201262131768,5.410253737718298,4.199999999999999
-0.0626286577358848,5.630416724644081,0.4968421772956975,-0.12605342420156718,5.410520548593641,4.35
-0.06257561586850709,5.630383392953082,0.49684755805855324,-0.12594530224325381,5.410673452792546,4.5
-0.06255419656177082,5.63036991826016,0.4968497295866547,-0.12590164155631456,5.410735183665499,4.65
-0.06255784810353163,5.630372216011267,0.49684935944065606,-0.12590908474544096,5.410724660447755,4.800000000000001
-0.06258113051696551,5.630386860797249,0.4968469988500719,-0.12595654328557176,5.410657558093237,4.950000000000001
-0.06261955250741291,5.630411006581508,0.49684310129616455,-0.12603486360996255,5.410546799999925,5.100000000000001
-0.06266942813842331,5.630442309585295,0.49683803821680567,-0.12613653407728054,5.410402984121497,5.250000000000002
-0.0627277514437623,5.630478856251554,0.49683211233452546,-0.12625542891947097,5.410234751182345,5.400000000000002
-0.06279208726208628,5.630519097609399,0.49682556899743635,-0.12638658551490592,5.41004910233363,5.5500000000000025
-0.06286047667359883,5.630561790608046,0.4968186058402956,-0.12652601157575324,5.409851672509633,5.700000000000003
-0.06293135551786166,5.630605946487433,0.49681138101204686,-0.1266705190804308,5.409646964891385,5.850000000000003
-0.06300348457518501,5.630650785931686,0.49680402017097247,-0.12681758201856477,5.409438551201036,6.0000000000000036
-0.06307589009792297,5.630695700558317,0.49679662241477673,-0.12696521524508425,5.409229241992276,6.150000000000004
-0.06314781348053002,5.630740220191508,0.49678926528731204,-0.1271118719604564,5.409021230637648,6.300000000000004
-0.06321866895715011,5.630783985323322,0.49678200898386926,-0.12725635754495057,5.408816214318217,6.450000000000005
-0.06328800831183379,5.630826724162198,0.49677489986132806,-0.12739775767555947,5.4086154949784255,6.600000000000005
-0.06335549167859453,5.630868233688601,0.4967679733467562,-0.127535378844503,5.408420062905981,6.750000000000005
-0.0634208635961849,5.630908364173501,0.4967612563274179,-0.12766869957826155,5.408230665324674,6.900000000000006
-0.06348393356529614,5.630947006659312,0.49675476909602134,-0.1277973308254739,5.408047862141162,7.050000000000006
-0.06354456043405067,5.630984082950615,0.4967485269169754,-0.12792098414148143,5.407872070759948,7.200000000000006
-0.06360264001091125,5.631019537710124,0.49674254127218714,-0.12803944644648535,5.4077036016718125,7.350000000000007
-0.06365809537266752,5.631053332302431,0.4967368208383373,-0.12815256027373298,5.407542686327287,7.500000000000007
-0.06371086939904959,5.631085440072624,0.49673137224148634,-0.12826020855408443,5.407389498627072,7.6500000000000075
-0.06376091912488506,5.631115842788575,0.4967262006292399,-0.1283623031040327,5.407244171194534,7.800000000000008
