x,y
-0.0008819069148163494,5.127143664143441e-06
-0.00088189493353312,5.122679320327674e-06
0.024488590854528466,-0.0002132663220793783
0.062079728738336365,-0.0022780174660792466
0.0976648650837939,-0.006427534550604337
0.13440160125917117,-0.01297101366642589
0.16931295628809087,-0.021369198426608126
0.20582860310443762,-0.03247801424612646
0.24306372226097092,-0.04635471743660927
0.27837908708710263,-0.06201029322356287
0.3132523009296145,-0.08001185860511328
0.3475291508248129,-0.10032510807170034
0.3810540730496649,-0.12293221159923025
0.41364964517583336,-0.14779631639970758
0.447238906479004,-0.1767492770068022
0.47748106454803807,-0.20614004169492833
0.5063580654292692,-0.23766080095406483
0.5337614515904848,-0.2713515989846582
0.5595676365680606,-0.3072339173902701
0.5836173432356173,-0.34521843878924463
0.6071031547070644,-0.3876782802279457
0.627017564806643,-0.4293108862405778
0.6447799889326291,-0.47268542934944024
0.6602725440172666,-0.5177024930237224
0.6741487655520356,-0.5673408871622313
0.6846208499867286,-0.6156151655666104
0.6925363173476025,-0.665240298266762
0.6978096701581121,-0.7160149775200727
0.7003494336191651,-0.7678188627477374
0.6999733659345215,-0.8239730274268989
0.6965579581371015,-0.8782477662565322
0.6904028329757526,-0.9308140643586905
0.6809733880628418,-0.9859243448186256
0.668981307470134,-1.0391479805774155
0.6526729929537586,-1.0971216350777193
0.6342765566737182,-1.1514707170030647
0.6128609093763385,-1.2058660688404061
0.5884345763633235,-1.259994779504124
0.5610626692997974,-1.3136558409351995
0.5308015120880523,-1.366686076194634
0.4954613651928138,-1.422318266712871
0.4595153557743331,-1.4734446612916388
0.42089850668723205,-1.523541720532764
0.379672516942947,-1.57260887843798
0.3359309136527102,-1.620542320002194
0.28656197332336675,-1.6703261810339387
0.23787467742546403,-1.7156506055076235
0.18702700433015318,-1.75958110370363
0.1341245656085226,-1.8021018963295254
0.07560687362914056,-1.8458483123903622
0.018865253734193274,-1.8853690547076192
-0.039554593494429184,-1.9234210604305784
-0.09962383451866323,-1.9600516747439132
-0.1653085077945911,-1.9975259031265065
-0.22827428533855065,-2.031188392415834
-0.2937341182195508,-2.0640850172918834
-0.35772701491883785,-2.094422428172138
-0.4284732159279287,-2.1260929542823535
-0.4957437000722127,-2.1545865888321383
-0.56383204818875,-2.181982691343246
-0.6326497460143193,-2.2083523603245028
-0.7067325507529094,-2.2354283544933775
-0.7767496114599756,-2.2599303378199207
-0.8472342694598041,-2.2836855789811628
-0.9181180305329811,-2.306799391977481
-0.9940714436209571,-2.330841661858862
-1.065552019949737,-2.3529122077476363
-1.137228225093306,-2.374624445273526
-1.2090391224417896,-2.39606315018552
-1.2857345930442556,-2.418741296791405
-1.357678144659501,-2.439926044035715
-1.4296090187723844,-2.4611331075383025
-1.5014826079077843,-2.4824508528414566
-1.5780352480942637,-2.5054042255647193
-1.6515585863314146,-2.5278012346910548
-1.7210781706956457,-2.5493916458961827
-1.7970292317964183,-2.5735356336682838
-1.8679634473671218,-2.5967035472990303
-1.938606792033385,-2.6204548819523823
-2.008930223460679,-2.6448487221222825
-2.083537297823256,-2.6716416191135375
-2.153046463003087,-2.6975470951405147
-2.2221213105934745,-2.7242771239245176
-2.2907238112341033,-2.751884044473472
-2.3588242315943955,-2.780412112958318
-2.430873170323786,-2.811897373460424
-2.497844448299785,-2.8424435812387188
-2.564220814534926,-2.874010372351801
-2.6299498937422014,-2.906615772490896
-2.6993234895657854,-2.942588402679472
-2.7636410263970297,-2.9774631108744005
-2.827218425343985,-3.0134677157694547
-2.8941904084275993,-3.053130341856387
-2.9574050411941526,-3.0922938776222013
-3.017357972644962,-3.1310568278580138
-3.078893135077114,-3.172580484936671
-3.141090670596177,-3.216435327217089
-3.1995828668143975,-3.259525176671442
-3.2571467162363077,-3.303789214607892
-3.3174867986555743,-3.3522756429364065
-3.3730453735160735,-3.398915804009737
-3.427631907649017,-3.4467071225664694
-3.4847641232301343,-3.4989246933143843
-3.537263819829724,-3.5490113709933624
-3.588696070995303,-3.6001604436474937
