angular_velocity,left_wheel_angular,linear_velocity,path_curvature,right_wheel_angular,time_interval
0.0010820475068759317,5.553645553674591,0.4999990633367996,0.002164099067815781,5.557444742698734,0.15
0.00104191410682712,5.5537167677956445,0.4999991315304867,0.0020838318331430758,5.557375043992949,0.3
0.001002420377693756,5.553786818908234,0.4999991961214167,0.002004843978689787,5.557306428234359,0.44999999999999996
0.0009635663119920374,5.553855708373019,0.4999992572308665,0.001927135486817586,5.557238896757347,0.6
0.0009253519017005731,5.553923437529769,0.4999993149781479,0.0018507063389497141,5.5571724508735185,0.75
0.0008877771381647302,5.553990007697524,0.49999936948060725,0.0017755565153750922,5.557107091871525,0.9
0.0008508420121770732,5.55405542017446,0.49999942085362536,0.0017016859954046965,5.557042821017215,1.05
0.0008145465138265705,5.554119676238148,0.49999946921061794,0.0016290947570655398,5.5569796395533615,1.2
0.0007788906325265943,5.554182777145509,0.499999514663035,0.001557782777152319,5.556917548699713,1.3499999999999999
0.0007438743570437112,5.554244724132754,0.49999955732036083,0.0014877500312807164,5.556856549653041,1.4999999999999998
0.0007094976753012502,5.554305518415744,0.4999995972901146,0.001418996493490331,5.556796643586803,1.6499999999999997
0.000675760574468398,5.5543651611898195,0.4999996346778498,0.0013515221364187417,5.5567378316512865,1.7999999999999996
0.0006426630408692002,5.554423653629966,0.4999996695871543,0.0012853269311154582,5.556680114973462,1.9499999999999995
0.0006102050599335021,5.554480996890899,0.49999970211965045,0.0012204108469398235,5.556623494656888,2.0999999999999996
0.0005783866160515321,5.554537192107317,0.4999997323749946,0.0011567738512662806,5.556567971781453,2.2499999999999996
0.0005472076926792051,5.55459224039372,0.4999997604508781,0.0010944159096911506,5.556513547403571,2.3999999999999995
0.0005166682721408,5.554646142844753,0.49999978644302606,0.0010333369856342393,5.556460222555826,2.5499999999999994
0.00048676833556575075,5.55469890053532,0.4999998104451982,0.0009735370402087429,5.556407998246862,2.6999999999999993
0.0004575078627458679,5.554750514520827,0.49999983254918834,0.0009150160319320903,5.556356875461135,2.849999999999999
0.00042888683228921635,5.5548009858369225,0.49999985284482473,0.0008577739170301749,5.556306855159183,2.999999999999999
0.0004009052212024782,5.554850315500221,0.4999998714199698,0.0008018106485986312,5.556257938276887,3.149999999999999
0.00037356300487104474,5.55489850450834,0.4999998883605202,0.0007471261765596449,5.556210125725442,3.299999999999999
0.00034686015687225395,5.554945553840232,0.4999999037504067,0.0006937204472851297,5.556163418391028,3.449999999999999
0.00032079664913817836,5.554991464455894,0.49999991767159435,0.0006415934039190808,5.556117817135092,3.5999999999999988
0.00029537245134486314,5.5550362372974424,0.4999999302040823,0.000590744985152903,5.556073322793275,3.7499999999999987
0.00027058753103343665,5.555079873288893,0.49999994142590365,0.0005411751254645612,5.556029936175632,3.8999999999999986
0.0002464418530664713,5.555122373337125,0.49999995141312575,0.0004928837540283046,5.555987658065669,4.049999999999999
0.00022293537980729963,5.555163738331561,0.49999996023985,0.00044587079507037863,5.555946489220662,4.199999999999999
0.0002000680705741779,5.55520396914512,0.4999999679782116,0.0004001361667745071,5.555906430370692,4.35
0.00017783988121742675,5.555243066634974,0.49999997469838003,0.00035567978043340277,5.555867482217915,4.5
0.00015625076445381446,5.555281031641938,0.4999999804685581,0.0003125015411148403,5.5558296454371305,4.65
0.0001353006684888602,5.555317864992907,0.4999999853549829,0.000270601344903643,5.555792920673379,4.800000000000001
0.00011498953656311869,5.555353567501644,0.4999999894219249,0.00022997907799170928,5.555757308541132,4.950000000000001
9.53173079685358e-05,5.555388139966994,0.4999999927316885,0.0001906346187082552,5.555722809626084,5.100000000000001
7.628391595626563e-05,5.555421583176558,0.4999999953446113,0.0001525678333330564,5.5556894244814705,5.250000000000002
5.788928710212217e-05,5.555453897907801,0.4999999973190643,0.00011577857482503416,5.55565715362696,5.400000000000002
4.013334155292094e-05,5.5554850849276285,0.49999999871145195,8.026668331269684e-05,5.555625997549081,5.5500000000000025
2.301598966031248e-05,5.555515144998277,0.49999999957621133,4.6031979359640626e-05,5.555595956695307,5.700000000000003
6.53713130628391e-06,5.555544078878515,0.4999999999658127,1.3074262613461768e-05,5.5555670314728784,5.850000000000003
-9.303349169099955e-06,5.555571887332521,0.49999999993075817,-1.8606698340776636e-05,5.555539222239883,6.0000000000000036
-2.4505552158580394e-05,5.555598571075815,0.4999999995195823,-4.901110436425239e-05,5.555512529359347,6.150000000000004
-3.90696233454821e-05,5.555624130881558,0.4999999987788516,-7.813924688180343e-05,5.555486953092922,6.300000000000004
-5.2995713099258005e-05,5.555648567509258,0.4999999977531635,-0.00010599142667480682,5.555462493672153,6.450000000000005
-6.628399264472876e-05,5.555671881733152,0.4999999964851458,-0.00013256798622137181,5.555439151270089,6.600000000000005
-7.893465780710284e-05,5.555694074348771,0.49999999501545583,-0.00015786931718801884,5.555416925994693,6.750000000000005
-9.094792575650666e-05,5.5557151461672145,0.4999999933827798,-0.00018189585392030315,5.555395817894558,6.900000000000006
-0.00010232405026942623,5.555735098041927,0.49999999162383085,-0.00020464810396718673,5.555375826932092,7.050000000000006
-0.00011306331927319584,5.555753930864373,0.4999999897733485,-0.00022612664317142844,5.555356952987815,7.200000000000006
-0.00012316606996584285,5.555771645590552,0.4999999878640951,-0.0002463321459106127,5.555339195833783,7.350000000000007
-0.00013263269779811165,5.55578824325673,0.49999998592685363,-0.000265265403062461,5.555322555117794,7.500000000000007
-0.00014146366709360278,5.5558037249980545,0.49999998399042417,-0.0002829273432462991,5.5553070303447045,7.6500000000000075
